epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.60146,1.34354,3.66869,3.10616,1.23295,0.00976,0.33333,0.31595,0.31595,0.00976,0.33333,0.31595,0.29005,0.36857,1.5664,3.32814,0.92244,2.858e-05,2.858e-05,2.858e-05
1,8.75137,1.55173,4.44942,3.338,1.77666,0.00718,0.29167,0.1206,0.06237,0.00667,0.27083,0.0878,0.05029,1.06858,3.04853,3.47517,1.54533,8.574e-05,8.574e-05,8.574e-05
2,17.7893,1.3339,3.36566,3.25849,1.56117,0.00595,0.3125,0.16734,0.09597,0.00556,0.29167,0.12093,0.05876,0.98808,2.74996,3.41256,1.33313,0.000183931,0.000183931,0.000183931
3,25.6609,1.13328,2.79145,3.19775,1.41321,0.00562,0.3125,0.18099,0.12411,0.00525,0.29167,0.17579,0.0841,0.94746,2.92208,3.37285,1.25055,0.000280141,0.000280141,0.000280141
4,33.2798,1.18547,2.68395,3.07281,1.41446,0.00587,0.3125,0.17657,0.11411,0.00548,0.29167,0.17229,0.09301,0.94784,2.98466,3.36153,1.24997,0.000374371,0.000374371,0.000374371
5,40.6779,1.02705,2.31535,2.94521,1.27661,0.00672,0.29167,0.2233,0.12924,0.00672,0.29167,0.2233,0.10128,1.13126,2.85835,3.41036,1.31873,0.00046662,0.00046662,0.00046662
6,48.4299,1.1434,2.17837,2.90209,1.36974,0.00825,0.3125,0.23149,0.1556,0.0077,0.29167,0.20816,0.10751,1.11357,2.98442,3.34691,1.31454,0.000556888,0.000556888,0.000556888
7,55.8884,1.06854,2.21612,2.76955,1.33524,0.00825,0.3125,0.23149,0.1556,0.0077,0.29167,0.20816,0.10751,1.11357,2.98442,3.34691,1.31454,0.000645176,0.000645176,0.000645176
8,63.3512,1.06746,2.1836,2.70679,1.30968,0.01147,0.33333,0.24109,0.14555,0.01147,0.33333,0.22452,0.12539,1.08804,2.791,3.28979,1.29633,0.000731484,0.000731484,0.000731484
9,70.9004,1.18214,2.29566,2.69217,1.3576,0.01453,0.33333,0.25295,0.16133,0.01453,0.33333,0.24435,0.14365,1.03661,2.94646,3.20928,1.27496,0.00081581,0.00081581,0.00081581
10,78.1688,0.98591,1.79577,2.42976,1.20114,0.01453,0.33333,0.25295,0.16133,0.01453,0.33333,0.24435,0.14365,1.03661,2.94646,3.20928,1.27496,0.000898157,0.000898157,0.000898157
11,85.8016,1.28816,2.31066,2.544,1.38689,0.94288,0.10124,0.26004,0.19798,0.94288,0.10124,0.2569,0.16116,1.06032,3.10331,2.98399,1.28238,0.000978522,0.000978522,0.000978522
12,93.3571,1.01915,1.8141,2.3118,1.25702,0.94288,0.10124,0.26004,0.19798,0.94288,0.10124,0.2569,0.16116,1.06032,3.10331,2.98399,1.28238,0.00105691,0.00105691,0.00105691
13,100.796,1.20493,2.55283,2.34744,1.45805,0.88174,0.1875,0.3028,0.2148,0.86933,0.19415,0.32609,0.13361,1.11539,4.04416,2.57822,1.29098,0.00113331,0.00113331,0.00113331
14,108.33,1.19368,2.32645,2.33047,1.40987,0.88174,0.1875,0.3028,0.2148,0.86933,0.19415,0.32609,0.13361,1.11539,4.04416,2.57822,1.29098,0.00120774,0.00120774,0.00120774
15,116.312,1.16757,1.99876,2.19977,1.36447,0.82823,0.51227,0.50543,0.27997,0.7455,0.46544,0.42126,0.26697,1.45832,2.95076,1.98649,1.65313,0.00123094,0.00123094,0.00123094
16,123.976,1.20838,2.08928,2.1371,1.3476,0.82823,0.51227,0.50543,0.27997,0.7455,0.46544,0.42126,0.26697,1.45832,2.95076,1.98649,1.65313,0.00121679,0.00121679,0.00121679
17,131.553,1.30562,2.31914,2.26403,1.46561,0.77927,0.54861,0.47544,0.27551,0.72203,0.49306,0.37308,0.24409,1.38208,3.46279,1.93523,1.56574,0.00120265,0.00120265,0.00120265
18,139.268,1.21608,2.14184,1.98433,1.39014,0.77927,0.54861,0.47544,0.27551,0.72203,0.49306,0.37308,0.24409,1.38208,3.46279,1.93523,1.56574,0.0011885,0.0011885,0.0011885
19,146.784,1.31661,2.28371,2.12392,1.43078,0.77927,0.54861,0.47544,0.27551,0.72203,0.49306,0.37308,0.24409,1.38208,3.46279,1.93523,1.56574,0.00117435,0.00117435,0.00117435
20,154.42,1.15785,1.93077,1.89165,1.30342,0.7966,0.53596,0.48348,0.29657,0.73844,0.48096,0.37719,0.24268,1.31817,2.97517,1.93213,1.51352,0.00116021,0.00116021,0.00116021
21,161.919,1.14298,1.95618,1.86845,1.34728,0.7966,0.53596,0.48348,0.29657,0.73844,0.48096,0.37719,0.24268,1.31817,2.97517,1.93213,1.51352,0.00114606,0.00114606,0.00114606
22,169.407,1.19768,2.02225,1.84169,1.4124,0.8385,0.45486,0.51719,0.31706,0.77092,0.40072,0.42531,0.25549,1.30676,2.76421,2.35522,1.55862,0.00113191,0.00113191,0.00113191
23,176.96,1.18331,2.08666,1.76903,1.36567,0.8385,0.45486,0.51719,0.31706,0.77092,0.40072,0.42531,0.25549,1.30676,2.76421,2.35522,1.55862,0.00111776,0.00111776,0.00111776
